preprocess,seed,objective_final,objective_delta_last10,objective_still_changing,fit_sec,cluster_frac_min,cluster_frac_mid,cluster_frac_max,margin_mean,margin_median,margin_p10,margin_p25,margin_lt_0p01_frac
pca128_l2,19,0.15595701336860657,1.1771917343139648e-06,0,0.3063103877939284,0.33163501417464436,0.3327749215970136,0.33559006422834203,0.19077426195144653,0.19043228030204773,0.04362885653972626,0.10836494714021683,0.02319387329989458
pca128_shrink001_l2,0,0.11872687935829163,0.00017837435007095337,1,0.30630085011944175,0.31426599085655743,0.340888380309171,0.34484562883427156,0.15615049004554749,0.16649049520492554,0.03623739257454872,0.09079863131046295,0.027827151781366417
pca128_shrink001_l2,1,0.11805962771177292,2.7939677238464355e-06,0,0.30540315620601177,0.32826915445690613,0.3328364787962929,0.33889436674680096,0.1550889015197754,0.16258183121681213,0.034577157348394394,0.08647225797176361,0.028905502004456303
pca128_shrink001_l2,2,0.1211194321513176,8.915364742279053e-05,1,0.30403630807995796,0.3291067720613857,0.333039837401055,0.33785339053755925,0.16224129498004913,0.1799694150686264,0.04480666667222977,0.10678021609783173,0.022289202317628553
pca128_shrink001_l2,3,0.11742471158504486,5.662441253662109e-06,0,0.3053714530542493,0.32170891579085065,0.3320725099838083,0.34621857422534114,0.15310420095920563,0.16110393404960632,0.03430865332484245,0.08515824377536774,0.029124249909038245
pca128_shrink001_l2,4,0.11831959336996078,3.693997859954834e-05,1,0.30403696605935693,0.3309941597607184,0.33288374593145387,0.33612209430782775,0.15513862669467926,0.16521766781806946,0.03572950139641762,0.08870232105255127,0.028009624907801605
pca128_shrink001_l2,5,0.1181003600358963,9.931623935699463e-06,0,0.3053721231408417,0.3302510764265606,0.3338477756415964,0.335901147931843,0.15419624745845795,0.1630745679140091,0.034354981034994125,0.08642283082008362,0.02904730340993907
pca128_shrink001_l2,6,0.12009141594171524,2.250075340270996e-05,1,0.30374423414468765,0.32445810428009403,0.3325869522920713,0.3429549434278346,0.1607775092124939,0.17283210158348083,0.040263064205646515,0.09889469295740128,0.024903184815597716
pca128_shrink001_l2,7,0.11732781678438187,2.9101967811584473e-05,1,0.3060339828953147,0.3202887032646201,0.3333893943541056,0.3463219023812743,0.1537274569272995,0.16050145030021667,0.03232291713356972,0.08235751837491989,0.031143545892540918
pca128_shrink001_l2,8,0.11802086234092712,7.758289575576782e-05,1,0.305842068977654,0.319874291405186,0.3289078103994293,0.35121789819538474,0.1533738523721695,0.1625049114227295,0.03489518538117409,0.08654606342315674,0.02893737983979739
pca128_shrink001_l2,9,0.1197417750954628,0.00013007968664169312,1,0.30500740837305784,0.3313239304711434,0.33343336378216226,0.33524270574669435,0.15939874947071075,0.1713556945323944,0.03901936486363411,0.09658057242631912,0.025793565733745326
pca128_shrink001_l2,10,0.11880488693714142,2.119690179824829e-05,1,0.30622843792662024,0.32842194821940307,0.3334289668393566,0.33814908494124035,0.1570315808057785,0.1693660169839859,0.036678362637758255,0.09155459702014923,0.027200587431558836
pca128_shrink001_l2,11,0.11807528883218765,6.556510925292969e-06,0,0.3057958697900176,0.31999190962523755,0.32777559762696995,0.35223249274779245,0.15443216264247894,0.16098237037658691,0.03504554554820061,0.08739840984344482,0.028546051930093005
pca128_shrink001_l2,12,0.11997183412313461,2.823770046234131e-05,1,0.3057781681418419,0.3278624372473819,0.3320758076909125,0.3400617550617056,0.15984098613262177,0.17498506605625153,0.040496423840522766,0.09918827563524246,0.024794360481157452
pca128_shrink001_l2,13,0.11795646697282791,5.3942203521728516e-06,0,0.3062647567130625,0.32488021078943813,0.3317911056442456,0.34332868356631635,0.15447132289409637,0.16204580664634705,0.034166011959314346,0.08516981452703476,0.02898244850355548
pca128_shrink001_l2,14,0.11829454451799393,5.833804607391357e-06,0,0.30644946126267314,0.33064570204336924,0.33397089004015507,0.3353834079164757,0.15521369874477386,0.1639128476381302,0.034583140164613724,0.08682853728532791,0.028936280604095973
pca128_shrink001_l2,15,0.12013592571020126,9.723007678985596e-06,0,0.3059435011819005,0.325787080243107,0.32799654400295475,0.34621637575393827,0.15935660898685455,0.17509238421916962,0.04080161079764366,0.10007163882255554,0.024339276900770895
pca128_shrink001_l2,16,0.1171843409538269,7.981061935424805e-05,1,0.30624611396342516,0.33182298347958666,0.33194719711384674,0.3362298194065666,0.15253618359565735,0.15915775299072266,0.03325589746236801,0.08469009399414062,0.030732431740211032
pca128_shrink001_l2,17,0.11866046488285065,0.0001220703125,1,0.3042333209887147,0.3304731220382468,0.3335971499016734,0.3359297280600798,0.1554402858018875,0.1651836782693863,0.03571724146604538,0.08901592344045639,0.028099762235317783
pca128_shrink001_l2,18,0.11843417584896088,1.7136335372924805e-05,1,0.30543057108297944,0.32692478919407336,0.33475684356666807,0.33831836723925857,0.15559396147727966,0.16587211191654205,0.03626362606883049,0.09056876599788666,0.027374266672382692
pca128_shrink001_l2,19,0.119357168674469,1.370161771774292e-05,1,0.3059945390559733,0.3229576475476601,0.3351349806479555,0.3419073718043844,0.1583923101425171,0.17117568850517273,0.03764019161462784,0.0940077006816864,0.027163213417710667
