experiment_directory,category,total_files,json_files,csv_files,npz_files,log_files
tworoom_success_rate_latent_kmeanspp_trainseed_status,Task-success evaluation,13,0,0,0,7
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed0_trainseed0_mpc_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed0_trainseed0_mpc_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed0_trainseed0_mpc_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed0_trainseed0_mpc_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed0_trainseed0_mpc_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed0_trainseed42_mpc_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed0_trainseed42_mpc_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed0_trainseed42_mpc_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed0_trainseed42_mpc_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed0_trainseed42_mpc_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed0_trainseed625_mpc_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed0_trainseed625_mpc_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed0_trainseed625_mpc_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed0_trainseed625_mpc_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_spectral_spectral_M20000_k30_P16_seed0_trainseed625_mpc_evalseed4,Task-success evaluation,3,1,0,0,1
