task,method,num_clusters,partition_seed,region_i,region_j,pi_i,pi_j,energy_i,energy_j,bures_squared,normalized_bures,q_ij,weight,fixed_action_factor_distance_squared,orthogonal_relaxation_gap,intercept_distance_squared
tworoom,gmm,4,1,0,3,0.2981750224069872,0.2390867596299566,1.0870775055761617,0.7943404315075268,1.5218438971423212,0.8088813586529696,0.4044406793264848,0.13294736221086223,1.8166924573527146,0.2948485602103934,0.2377504712253251
tworoom,gmm,4,1,1,2,0.24709830918389208,0.21563990877916414,1.9448286472392176,1.6261567718164374,2.695534746418104,0.7548433919763629,0.3774216959881814,0.18860562811298784,4.294703925418341,1.5991691790002371,1.1818483048414654
tworoom,gmm,4,1,1,3,0.24709830918389208,0.2390867596299566,1.9448286472392176,0.7943404315075268,2.537586893582389,0.926407542079664,0.463203771039832,0.1604027458123681,2.762312864452894,0.22472597087050472,0.3562069775651887
tworoom,gmm,4,1,2,3,0.21563990877916414,0.2390867596299566,1.6261567718164374,0.7943404315075268,2.250837989764622,0.9299072879215244,0.4649536439607622,0.12369635686025249,2.3969543631284536,0.14611637336383154,0.5510718352318345
tworoom,gmm,4,2,0,1,0.3047899912839905,0.21724850049861857,1.036181358732867,1.9471397965315755,2.7132004797954705,0.9094563872239131,0.45472819361195654,0.1579800509701353,2.7152458139915066,0.0020453341960360305,0.45855608907977957
tworoom,gmm,4,2,0,2,0.3047899912839905,0.2570471236607689,1.036181358732867,1.453143049796042,2.077781694093034,0.8346769456701385,0.41733847283506925,0.1559695073266204,2.8371696214340183,0.7593879273409843,0.6127541316983915
tworoom,gmm,4,2,0,3,0.3047899912839905,0.2209143845566221,1.036181358732867,2.453249971731245,3.265239685364008,0.9357512374171624,0.4678756187085812,0.1878988429319794,3.495786780747949,0.2305470953839408,0.42412489849370916
tworoom,gmm,4,2,1,2,0.21724850049861857,0.2570471236607689,1.9471397965315755,1.453143049796042,2.9344908380336836,0.8630137464014207,0.43150687320071035,0.1518550829478677,3.837290001566284,0.9027991635326003,0.7706826753148438
tworoom,gmm,4,2,1,3,0.21724850049861857,0.2209143845566221,1.9471397965315755,2.453249971731245,2.8329435267208893,0.6437937718956371,0.32189688594781857,0.16889495683346245,5.957332498118175,3.124388971397286,1.1839150027172631
tworoom,gmm,4,2,2,3,0.2570471236607689,0.2209143845566221,1.453143049796042,2.453249971731245,3.685463453019928,0.9434441011721392,0.4717220505860696,0.17740155898993468,3.8558532021259766,0.17038974910604843,0.7036415799357416
