preprocess,seed_a,seed_b,ari,nmi,label_agreement,centroid_cosine,restart_budget
zscore_kmeanspp_R1,16,18,0.34256503846950237,0.33249000810022233,0.6725695623832749,0.6095469494660696,1
zscore_kmeanspp_R1,16,19,0.1403758653490066,0.14228374256111778,0.5280519454823062,0.4021860758463542,1
zscore_kmeanspp_R1,17,18,0.228099287986333,0.20895964610360127,0.6176011818982262,0.5634924173355103,1
zscore_kmeanspp_R1,17,19,0.03309251022876756,0.03087251080638873,0.4376101296768357,0.254436194896698,1
zscore_kmeanspp_R1,18,19,0.05704682675391002,0.05618876900646228,0.4253063844708774,0.17224561298886934,1
zscore_kmeanspp_R5,0,1,0.20398491322584233,0.2110679389567213,0.569277681228242,0.47659729917844135,5
zscore_kmeanspp_R5,0,2,0.11347992159620808,0.12864105516538143,0.4610524302452505,0.29262234767278034,5
zscore_kmeanspp_R5,0,3,0.26676465114258485,0.2554689313363317,0.5830851808737385,0.49760977427164715,5
zscore_kmeanspp_R5,0,4,0.4257420478863769,0.3787843562731194,0.7624518672167242,0.7890318234761556,5
zscore_kmeanspp_R5,0,5,0.29477548971105577,0.2744260349654274,0.665512469180179,0.6226070721944174,5
zscore_kmeanspp_R5,0,6,0.359479675621287,0.3172167867990118,0.7185472940664356,0.7397598624229431,5
zscore_kmeanspp_R5,0,7,0.30026693490861434,0.2598282495777613,0.6915896377248899,0.6954426765441895,5
zscore_kmeanspp_R5,0,8,0.22684026519335837,0.23608790525665616,0.5498508886771029,0.4270608400305112,5
zscore_kmeanspp_R5,0,9,0.18557209828076696,0.16593151928902564,0.601821653404388,0.5515861511230469,5
