model,task,num_clusters,partition_seed,region,transition_count,episode_count,heldout_affine_mse,heldout_affine_mse_cluster_se,heldout_affine_mse_upper95,heldout_affine_l2,heldout_affine_l2_upper95
subjepa,cube,4,0,0,386829,4829,0.3402696747810087,0.001334692916252038,0.3424650492292004,0.5833263878661832,0.5852051343154812
subjepa,cube,4,0,1,655486,8266,0.4868315474364379,0.0015974932898746583,0.4894591900252641,0.6977331491597901,0.699613600514787
subjepa,cube,4,0,2,386320,4979,0.38452353144453133,0.001314435568975326,0.38668558552212845,0.6200996141302874,0.6218404823764118
subjepa,cube,4,0,3,551517,5602,0.4879264623878868,0.0018094234684954496,0.490902699093966,0.6985173314871198,0.7006444883776408
subjepa,cube,4,1,0,400846,5016,0.3887591459031997,0.0013314141093536901,0.39094912719406094,0.6235055299700234,0.6252592479876334
subjepa,cube,4,1,1,534462,5506,0.4802994679500401,0.0018000411104244756,0.4832602720506698,0.693036411705792,0.6951692398622581
subjepa,cube,4,1,2,648809,8272,0.4931010727242108,0.001701235493668818,0.4958993560504197,0.7022115583812408,0.7042012184386077
subjepa,cube,4,1,3,396035,4955,0.3464034315680666,0.0013667276675046456,0.3486514984921812,0.5885604740110115,0.5904671866346014
subjepa,cube,4,2,0,399642,5062,0.3890888439124587,0.0013090674171642124,0.3912420681662239,0.6237698645433736,0.6254934597309743
subjepa,cube,4,2,1,651048,8259,0.48666344939841366,0.0016087588062085113,0.4893096221123374,0.697612678639382,0.6995066991189844
subjepa,cube,4,2,2,397150,4859,0.3416757860196944,0.0013306315627807594,0.34386448013600796,0.5845303978577114,0.5863995908388818
subjepa,cube,4,2,3,532312,5478,0.48517491992679246,0.0018252492741799517,0.48817718776632474,0.6965449877264156,0.6986967781279121
subjepa,pusht,2,0,0,973110,12383,1.8492694849044389,0.007346116488239285,1.8613527710561386,1.3598784816682845,1.3643140294873972
subjepa,pusht,2,0,1,1308123,14942,1.893097275321081,0.0064512587466745265,1.90370865149508,1.3758987155023734,1.379749488673607
subjepa,pusht,2,1,0,1293843,14402,1.871717960418742,0.0063918151723750495,1.8822315606155577,1.3681074374546547,1.371944445163709
subjepa,pusht,2,1,1,987390,12268,1.8784492518655171,0.007365807733248445,1.8905649272324587,1.3705653037580943,1.374978155183732
subjepa,pusht,2,2,0,1036018,12826,1.8782302321585687,0.007048012338818878,1.8898231806269192,1.3704854001989837,1.3747083983983364
subjepa,pusht,2,2,1,1245215,14275,1.8718522073825867,0.006564301199880827,1.882649521842695,1.3681564995944677,1.3720967611078656
subjepa,pusht,3,0,0,793626,10899,1.9369089016404397,0.008317550288640042,1.9505900541758903,1.391728745711764,1.3966352616828384
subjepa,pusht,3,0,1,1027923,14453,2.078072725049378,0.007275337496026638,2.0900395901209325,1.4415521929674895,1.4456969219448912
subjepa,pusht,3,0,2,459684,8800,1.2434295836770883,0.006898112723474938,1.2547759692235019,1.1150917377853216,1.120167830828712
subjepa,pusht,3,1,0,707851,9442,1.6026678266889343,0.007548678262813941,1.6150842973047654,1.2659651759384751,1.2708596686120641
subjepa,pusht,3,1,1,626200,8953,1.6946960112697727,0.008200096873312203,1.708183970132189,1.3018049052257303,1.3069751222315553
subjepa,pusht,3,1,2,947182,16213,2.1701655011468004,0.007522629963550417,2.1825391261238143,1.4731481599441383,1.4773419123966578
subjepa,pusht,3,2,0,620549,9160,1.7725152764588215,0.008676233415134262,1.7867864102261453,1.3313584327516093,1.3367073016282005
subjepa,pusht,3,2,1,922181,16053,2.088809651736433,0.007345130090724186,2.1008913154086293,1.445271480288888,1.4494451750268547
subjepa,pusht,3,2,2,738503,9993,1.656801228438328,0.007748616932147544,1.669546568894192,1.2871679099629263,1.2921093486598538
subjepa,pusht,4,0,0,529717,8353,1.8355161612481914,0.01004811241101979,1.852043835120662,1.3548122236118891,1.3608981722085831
subjepa,pusht,4,0,1,628468,10615,2.081281607137154,0.009091404347551589,2.09623563630728,1.4426647590958732,1.4478382631728173
subjepa,pusht,4,0,2,386234,7633,1.2063621038103014,0.007260867072617917,1.2183051671538185,1.098345166061335,1.1037686202976684
subjepa,pusht,4,0,3,736814,15264,1.9937077861004917,0.007942306210357028,2.0067717170629,1.4119871763229621,1.4166057027496748
subjepa,pusht,4,1,0,565546,8736,1.7207445831457282,0.00871829282069958,1.73508489847771,1.3117715438084971,1.3172262138591495
